Step,Time,CAREA
loading,0.000000,0.000000
loading,0.758867,0.000000
loading,0.968500,0.000000
loading,0.976368,8.152331
loading,0.979979,8.149879
loading,1.000000,24.668907
loading_300N,0.000000,24.668907
loading_300N,1.000000,232.707260
subrotation,0.000000,232.707260
subrotation,0.002363,232.707626
subrotation,0.007789,224.311249
subrotation,0.009731,232.391968
subrotation,0.012081,215.269089
subrotation,0.014401,238.377502
subrotation,0.017000,213.893509
subrotation,0.019090,249.345490
subrotation,0.020449,233.186768
subrotation,0.021869,185.430786
subrotation,0.022787,225.377991
subrotation,0.024067,225.585312
subrotation,0.025968,201.864105
subrotation,0.026606,234.218399
subrotation,0.026742,238.381241
subrotation,0.027405,242.546082
subrotation,0.029377,202.561768
subrotation,0.030000,226.937775
rotation,0.000000,226.937775
rotation,0.000356,226.868896
rotation,0.000612,226.970306
rotation,0.000707,231.116425
rotation,0.001013,222.793640
rotation,0.001291,226.483124
rotation,0.002122,234.738190
rotation,0.002538,210.756836
rotation,0.003015,199.177292
rotation,0.003866,201.061249
rotation,0.004554,169.843903
rotation,0.004757,157.953079
rotation,0.005563,180.088776
rotation,0.005700,187.977722
rotation,0.005746,187.928268
rotation,0.005832,190.362686
rotation,0.006146,181.822678
rotation,0.007388,222.294144
rotation,0.008133,236.723526
rotation,0.008267,233.497437
