Time,Torque
0.0,25.453000132438543
0.002363281324505806,290.7627345832931
0.0077891540713608265,488.3369887666484
0.00973079726099968,533.1446174988256
0.012080539017915726,612.0680739755145
0.014400809071958065,717.2221542932907
0.016999593004584312,769.5100823711956
0.0190901942551136,743.1887990592784
0.020448561757802963,744.0296702026662
0.021868819370865822,738.793844865926
0.02278726175427437,732.1015907606886
0.02406693808734417,716.0658649488415
0.025967875495553017,690.9477077511918
0.026605557650327682,673.523471307934
0.026742365211248398,670.3553575946266
0.027404610067605972,665.973515511857
0.029376858845353127,695.6543549851543
0.029999999329447746,701.1229957351889
